z,locations,text
3.723589897,AFG,Afghanistan
4.401778221,AFG,Afghanistan
4.75838089,AFG,Afghanistan
3.83171916,AFG,Afghanistan
3.782937527,AFG,Afghanistan
3.572100401,AFG,Afghanistan
3.130895615,AFG,Afghanistan
3.982854605,AFG,Afghanistan
4.220168591,AFG,Afghanistan
4.634251595,ALB,Albania
5.485469818,ALB,Albania
5.268936634,ALB,Albania
5.867421627,ALB,Albania
5.510124207,ALB,Albania
4.550647736,ALB,Albania
4.813763142,ALB,Albania
4.606650829,ALB,Albania
4.511100769,ALB,Albania
5.46356678,DZA,Algeria
5.317194462,DZA,Algeria
5.604595661,DZA,Algeria
6.354898453,DZA,Algeria
5.388170719,DZA,Algeria
5.589000702,AGO,Angola
4.360249996,AGO,Angola
3.937106848,AGO,Angola
3.794837952,AGO,Angola
6.312925339,ARG,Argentina
6.073158264,ARG,Argentina
5.961034298,ARG,Argentina
6.424133301,ARG,Argentina
6.441067219,ARG,Argentina
6.775805473,ARG,Argentina
6.468387127,ARG,Argentina
6.582260132,ARG,Argentina
6.671114445,ARG,Argentina
6.69713068,ARG,Argentina
6.427221298,ARG,Argentina
4.289310932,ARM,Armenia
4.881515503,ARM,Armenia
4.651972294,ARM,Armenia
4.177581787,ARM,Armenia
4.367811203,ARM,Armenia
4.260491371,ARM,Armenia
4.319711685,ARM,Armenia
4.277191162,ARM,Armenia
4.453083038,ARM,Armenia
4.34831953,ARM,Armenia
4.325471878,ARM,Armenia
7.340688229,AUS,Australia
7.285390854,AUS,Australia
7.253757477,AUS,Australia
7.450047016,AUS,Australia
7.405616283,AUS,Australia
7.195585728,AUS,Australia
7.364169121,AUS,Australia
7.288550377,AUS,Australia
7.309060574,AUS,Australia
7.250080109,AUS,Australia
7.122211456,AUT,Austria
7.180953979,AUT,Austria
7.302678585,AUT,Austria
7.470512867,AUT,Austria
7.400688648,AUT,Austria
7.498802662,AUT,Austria
6.949999809,AUT,Austria
7.07644701,AUT,Austria
7.048071861,AUT,Austria
4.727870941,AZE,Azerbaijan
4.56815958,AZE,Azerbaijan
4.817189217,AZE,Azerbaijan
4.573725224,AZE,Azerbaijan
4.218610764,AZE,Azerbaijan
4.680469513,AZE,Azerbaijan
